'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2015,4.7,0.0, ,24.8,14.0,87,45,3.15,24.31
REDCLIFFE,02/10/2015,5.7,0.0, ,27.5,15.1,90,19,3.11,25.22
REDCLIFFE,03/10/2015,5.0,0.0, ,25.2,15.0,83,54,4.58,25.19
REDCLIFFE,04/10/2015,5.8,0.0, ,26.4,14.6,90,23,3.87,25.52
REDCLIFFE,05/10/2015,6.2,0.0, ,29.6,13.1,89,19,3.34,26.03
REDCLIFFE,06/10/2015,5.8,0.0, ,29.0,14.3,87,22,2.82,25.94
REDCLIFFE,07/10/2015,5.2,0.0, ,26.7,14.4,83,55,4.75,25.85
REDCLIFFE,08/10/2015,4.2,0.0, ,25.0,17.3,92,60,10.58,12.59
REDCLIFFE,09/10/2015,4.0,20.6, ,23.6,18.3,90,58,9.16,12.50
REDCLIFFE,10/10/2015,6.0,2.2, ,23.6,18.7,65,43,5.94,24.06
REDCLIFFE,11/10/2015,5.1,0.0, ,24.4,14.5,86,47,4.81,24.91
REDCLIFFE,12/10/2015,6.0,0.0, ,26.3,15.5,77,47,6.14,25.61
REDCLIFFE,13/10/2015,5.1,0.0, ,25.9,16.8,86,53,6.03,22.18
REDCLIFFE,14/10/2015,4.4,40.8, ,24.8,17.7,92,56,3.85,21.29
REDCLIFFE,15/10/2015,4.8,1.4, ,24.2,18.2,90,59,5.39,24.04
REDCLIFFE,16/10/2015,5.3,0.0, ,24.6,18.9,79,54,5.11,24.27
REDCLIFFE,17/10/2015,5.3,0.0, ,25.3,16.7,88,48,4.52,25.92
REDCLIFFE,18/10/2015,5.3,0.0, ,25.0,17.5,89,53,5.44,26.21
REDCLIFFE,19/10/2015,5.6,0.0, ,24.7,17.9,76,52,6.38,24.35
REDCLIFFE,20/10/2015,5.4,0.0, ,24.6,16.4,79,50,4.62,26.07
REDCLIFFE,21/10/2015,5.6,0.0, ,25.4,16.3,85,51,6.14,26.66
REDCLIFFE,22/10/2015,5.8,0.0, ,28.3,16.9,91,45,5.82,22.90
REDCLIFFE,23/10/2015,5.6,13.6, ,24.8,18.7,92,51,8.03,25.46
REDCLIFFE,24/10/2015,4.4,0.2, ,24.3,18.9,75,63,6.84,15.09
REDCLIFFE,25/10/2015,4.1,0.4, ,24.9,18.3,86,57,4.86,15.43
REDCLIFFE,26/10/2015,5.5,0.0, ,26.6,18.2,85,57,6.50,25.00
REDCLIFFE,27/10/2015,5.7,6.2, ,27.3,18.3,90,57,6.21,26.76
REDCLIFFE,28/10/2015,2.5,2.4, ,21.5,18.1,91,70,7.90,5.38
REDCLIFFE,29/10/2015,3.0,19.6, ,22.3,17.5,91,62,6.58,7.67
REDCLIFFE,30/10/2015,3.6,5.2, ,23.3,17.5,89,55,4.56,12.87
REDCLIFFE,31/10/2015,5.7,0.0, ,24.9,17.6,83,48,5.01,26.73
Totals:,,156.4,112.6, ,,,,,, 